"","Lead.Number","Lead.Origin","Lead.Source","Do.Not.Email","Converted","TotalVisits","Total.Time.Spent.on.Website","Page.Views.Per.Visit","Last.Activity","What.is.your.current.occupation","City","A.free.copy.of.Mastering.The.Interview","Last.Notable.Activity","total_answered"
"15","660553","Landing Page Submission","Direct Traffic","Yes","0",1,481,1,"Email Bounced","Unemployed","Mumbai","No","Email Bounced","3"
"16","660547","API","Organic Search","No","1",6,1012,6,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","2"
"17","660540","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"18","660534","API","Referral Sites","No","0",6,973,6,"Email Link Clicked","Unemployed","Thane & Outskirts","No","Modified","2"
"19","660522","Landing Page Submission","Google","No","1",6,1688,3,"Page Visited on Website","Unemployed","Mumbai","No","Page Visited on Website","4"
"20","660509","API","Organic Search","No","0",3,98,3,"Page Visited on Website","Unemployed","Thane & Outskirts","No","Modified","2"
"21","660479","Landing Page Submission","Google","No","0",1,233,1,"Unreachable","Unemployed","Mumbai","No","Modified","4"
"22","660478","API","Google","No","0",4,377,1.33,"Page Visited on Website","Unemployed","Thane & Outskirts","No","Modified","2"
"23","660471","Landing Page Submission","Google","No","1",1,1013,1,"Converted to Lead","Unemployed","Mumbai","No","Modified","4"
"24","660461","Landing Page Submission","Google","No","0",4,771,4,"Email Link Clicked","Unemployed","Mumbai","No","Email Link Clicked","4"
"25","660458","API","Google","No","1",6,1137,1.5,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"26","660447","Landing Page Submission","Google","No","1",3,1068,3,"Form Submitted on Website","Unemployed","Mumbai","No","Modified","4"
"27","660432","Landing Page Submission","Organic Search","No","1",4,1000,2,"Email Opened","Unemployed","Other Cities","Yes","Email Opened","3"
"28","660424","Landing Page Submission","Google","No","1",6,1315,6,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"29","660423","Landing Page Submission","Direct Traffic","No","0",5,182,5,"Email Opened","Student","Mumbai","No","Email Opened","2"
"30","660410","API","Google","No","1",3,78,3,"Unreachable","Unemployed","Mumbai","No","Unreachable","3"
"31","660402","Landing Page Submission","Direct Traffic","No","1",7,1174,3.5,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"32","660374","API","Google","No","0",3,88,1.5,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","2"
"33","660361","API","Referral Sites","No","0",4,223,2,"Page Visited on Website","Unemployed","Mumbai","No","Modified","2"
"34","660339","API","Organic Search","No","0",3,74,1.5,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","0"
"35","660333","Landing Page Submission","Organic Search","No","1",4,16,2,"Page Visited on Website","Unemployed","Mumbai","Yes","Modified","3"
"36","660321","API","Referral Sites","No","1",3,98,3,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","3"
"37","660312","Landing Page Submission","Google","No","0",4,1622,4,"Unreachable","Unemployed","Mumbai","No","Modified","4"
"38","660267","Landing Page Submission","Google","No","1",5,563,5,"Email Opened","Working Professional","Mumbai","No","Email Opened","4"
"39","660255","API","Google","No","0",2,310,2,"Email Link Clicked","Unemployed","Mumbai","No","Email Link Clicked","2"
"40","660236","Landing Page Submission","Google","No","1",4,25,4,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Email Opened","4"
"41","660235","API","Direct Traffic","No","0",3,342,3,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"42","660222","Landing Page Submission","Organic Search","Yes","0",7,38,7,"Unsubscribed","Unemployed","Mumbai","Yes","Unsubscribed","4"
"43","660215","API","Google","No","0",5,199,5,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"44","660203","Landing Page Submission","Google","No","0",5,222,5,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"45","660194","Landing Page Submission","Direct Traffic","No","0",6,275,3,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"46","660180","Landing Page Submission","Google","No","0",4,287,2,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"47","660174","Landing Page Submission","Direct Traffic","No","0",2,547,2,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"48","660153","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"49","660149","API","Google","No","0",6,1225,6,"Page Visited on Website","Unemployed","Thane & Outskirts","No","Modified","3"
"50","660128","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"51","660087","API","Olark Chat","No","1",0,0,0,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","2"
"52","660070","Landing Page Submission","Google","No","0",5,160,5,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"53","660069","Landing Page Submission","Organic Search","No","0",6,394,2,"Unreachable","Unemployed","Mumbai","Yes","Modified","3"
"54","660050","API","Google","No","0",6,286,1.5,"Olark Chat Conversation","Unemployed","Mumbai","No","Modified","0"
"55","660048","API","Organic Search","No","0",7,96,2.33,"Email Opened","Unemployed","Mumbai","No","Email Opened","0"
"56","660030","API","Organic Search","No","0",2,12,2,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"57","659998","Landing Page Submission","Referral Sites","No","1",13,436,13,"Form Submitted on Website","Unemployed","Other Metro Cities","No","Modified","4"
"58","659963","API","Referral Sites","No","1",8,903,8,"Page Visited on Website","Unemployed","Other Cities of Maharashtra","No","Page Visited on Website","3"
"59","659942","Landing Page Submission","Organic Search","No","0",17,409,8.5,"Email Opened","Unemployed","Mumbai","Yes","Modified","3"
"60","659937","Landing Page Submission","Referral Sites","No","0",11,685,5.5,"Email Opened","Unemployed","Thane & Outskirts","Yes","Email Opened","3"
"61","659931","API","Google","No","0",4,213,4,"Form Submitted on Website","Unemployed","Mumbai","No","Modified","4"
"62","659925","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","2"
"63","659918","API","Organic Search","No","1",7,1468,3.5,"Page Visited on Website","Unemployed","Mumbai","No","Modified","3"
"64","659896","API","Olark Chat","No","0",0,0,0,"Email Link Clicked","Unemployed","Other Cities","No","Modified","0"
"65","659889","Landing Page Submission","Direct Traffic","No","1",4,1435,4,"Email Opened","Working Professional","Other Cities","Yes","Email Opened","3"
"66","659875","Landing Page Submission","Google","No","1",1,157,1,"Converted to Lead","Unemployed","Other Cities of Maharashtra","No","Modified","4"
"67","659853","API","Google","No","1",3,885,1.5,"Had a Phone Conversation","Unemployed","Mumbai","No","Had a Phone Conversation","3"
"68","659849","API","Olark Chat","No","1",0,0,0,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Modified","2"
"69","659833","API","Olark Chat","No","0",0,0,0,"View in browser link Clicked","Unemployed","Other Cities","No","Modified","3"
"70","659830","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"71","659819","Landing Page Submission","Direct Traffic","No","0",1,1710,1,"Converted to Lead","Unemployed","Thane & Outskirts","Yes","Modified","3"
"72","659820","Landing Page Submission","Direct Traffic","No","0",4,219,4,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"73","659806","Landing Page Submission","Referral Sites","Yes","0",3,111,3,"Email Bounced","Unemployed","Other Metro Cities","Yes","Modified","3"
"74","659784","API","Organic Search","No","0",6,224,6,"Page Visited on Website","Unemployed","Thane & Outskirts","No","Modified","2"
"75","659782","Landing Page Submission","Direct Traffic","No","0",5,224,1.67,"Page Visited on Website","Unemployed","Other Cities of Maharashtra","Yes","Page Visited on Website","1"
"76","659779","Landing Page Submission","Direct Traffic","No","1",2,1071,2,"Email Opened","Unemployed","Other Cities of Maharashtra","Yes","Email Opened","3"
"77","659727","Landing Page Submission","Google","No","1",6,595,3,"Email Opened","Working Professional","Mumbai","No","Email Opened","4"
"78","659722","Lead Add Form","Welingak Website","No","1",0,1096,0,"Email Opened","Unemployed","Mumbai","No","Modified","2"
"79","659720","API","Referral Sites","No","0",4,520,4,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"80","659710","Lead Add Form","Reference","No","1",0,705,0,"Had a Phone Conversation","Working Professional","Thane & Outskirts","No","Modified","3"
"81","659708","API","Google","No","0",2,393,2,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"82","659705","Lead Add Form","Welingak Website","No","1",0,346,0,"SMS Sent","Unemployed","Mumbai","No","Modified","2"
"83","659704","API","Olark Chat","No","1",0,0,0,"Email Link Clicked","Working Professional","Mumbai","No","Email Link Clicked","3"
"84","659700","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"85","659696","Landing Page Submission","Google","No","1",3,1136,3,"Page Visited on Website","Unemployed","Mumbai","No","Modified","4"
"86","659685","API","Referral Sites","No","0",3,335,3,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","2"
"87","659676","API","Referral Sites","No","0",4,75,4,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"88","659644","Landing Page Submission","Direct Traffic","No","0",6,97,3,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","1"
"89","659631","Lead Add Form","Reference","No","1",0,1007,0,"SMS Sent","Unemployed","Mumbai","No","Modified","3"
"90","659630","Landing Page Submission","Organic Search","No","0",2,1085,2,"Converted to Lead","Unemployed","Other Cities of Maharashtra","Yes","Modified","3"
"91","659614","API","Organic Search","No","0",3,214,3,"Page Visited on Website","Unemployed","Mumbai","No","Modified","2"
"92","659607","API","Olark Chat","No","1",6,1158,1.5,"Email Opened","Unemployed","Other Cities","Yes","Email Opened","3"
"93","659600","Landing Page Submission","Google","No","0",4,101,4,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"94","659582","Landing Page Submission","Google","No","0",9,838,4.5,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"95","659567","Landing Page Submission","Direct Traffic","No","0",3,536,3,"Unreachable","Unemployed","Mumbai","Yes","Modified","3"
"96","659562","Landing Page Submission","Direct Traffic","No","0",4,161,2,"Unreachable","Unemployed","Other Cities of Maharashtra","No","Unreachable","3"
"97","659555","Landing Page Submission","Google","No","0",2,511,2,"Form Submitted on Website","Unemployed","Mumbai","No","Modified","4"
"98","659545","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"99","659523","API","Google","No","1",5,1110,5,"Olark Chat Conversation","Working Professional","Mumbai","No","Modified","3"
"100","659507","Landing Page Submission","Direct Traffic","No","1",5,1563,5,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"101","659492","API","Referral Sites","No","0",7,1633,3.5,"Converted to Lead","Unemployed","Mumbai","No","Modified","2"
"102","659480","API","Olark Chat","No","1",0,0,0,"Email Opened","Unemployed","Mumbai","No","Modified","2"
"103","659474","Landing Page Submission","Google","No","0",12,809,4,"Unreachable","Unemployed","Mumbai","No","Modified","2"
"104","659469","Landing Page Submission","Direct Traffic","No","0",2,638,2,"Page Visited on Website","Unemployed","Mumbai","Yes","Modified","3"
"105","659463","API","Google","No","1",5,1196,5,"Page Visited on Website","Unemployed","Thane & Outskirts","No","Modified","2"
"106","659447","Landing Page Submission","Organic Search","No","0",6,1485,6,"Email Opened","Unemployed","Other Cities","Yes","Email Opened","3"
"107","659438","API","Google","No","0",9,125,3,"Page Visited on Website","Unemployed","Mumbai","No","Modified","0"
"108","659437","API","Google","No","1",3,165,3,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"109","659411","Landing Page Submission","Google","No","0",6,398,3,"Olark Chat Conversation","Unemployed","Mumbai","Yes","Olark Chat Conversation","2"
"110","659407","API","Organic Search","No","0",3,570,3,"Converted to Lead","Unemployed","Thane & Outskirts","No","Modified","0"
"111","659395","Landing Page Submission","Organic Search","No","1",6,895,6,"Email Opened","Unemployed","Other Cities of Maharashtra","Yes","Email Opened","3"
"112","659371","Landing Page Submission","Google","No","1",4,1190,4,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"113","659369","Lead Add Form","Reference","No","1",0,0,0,"Email Link Clicked","Working Professional","Mumbai","No","Email Link Clicked","3"
"114","659366","API","Direct Traffic","No","0",5,1566,5,"Converted to Lead","Unemployed","Mumbai","No","Modified","2"
"115","659364","API","Google","No","1",5,727,5,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","2"
"116","659357","Landing Page Submission","Google","No","0",8,652,4,"Unreachable","Unemployed","Mumbai","No","Modified","4"
"117","659345","API","Organic Search","No","0",4,1248,1.33,"Email Opened","Unemployed","Mumbai","No","Email Opened","0"
"118","659334","API","Google","No","0",2,767,2,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","2"
"119","659293","API","Referral Sites","No","0",10,275,3.33,"Page Visited on Website","Unemployed","Mumbai","No","Page Visited on Website","2"
"120","659287","API","Organic Search","No","0",3,273,3,"Converted to Lead","Unemployed","Mumbai","No","Modified","2"
"121","659283","Lead Add Form","Reference","No","1",0,1111,0,"Email Opened","Working Professional","Other Cities","No","Modified","3"
"122","659281","Landing Page Submission","Google","No","0",8,277,4,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"123","659263","API","Organic Search","No","1",3,1207,1.5,"Olark Chat Conversation","Unemployed","Other Cities","No","Modified","2"
"124","659248","API","Google","No","0",2,39,1,"Converted to Lead","Unemployed","Mumbai","No","Modified","0"
"125","659244","Landing Page Submission","Google","No","0",4,1638,4,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"126","659241","API","Referral Sites","No","0",16,53,16,"Olark Chat Conversation","Unemployed","Mumbai","No","Modified","0"
"127","659238","Landing Page Submission","Direct Traffic","No","0",1,127,1,"Converted to Lead","Unemployed","Mumbai","Yes","Modified","3"
"128","659221","Landing Page Submission","Organic Search","Yes","0",5,100,5,"Page Visited on Website","Unemployed","Mumbai","Yes","Modified","3"
"129","659217","Landing Page Submission","Google","Yes","0",4,323,4,"Unsubscribed","Unemployed","Mumbai","No","Unsubscribed","2"
"130","659203","API","Google","No","1",2,160,1,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"131","659191","Lead Add Form","Reference","No","1",0,0,0,"Email Opened","Businessman","Thane & Outskirts","No","Modified","3"
"132","659182","API","Google","No","0",1,263,1,"Converted to Lead","Unemployed","Mumbai","No","Modified","2"
"133","659170","API","Google","No","0",2,1218,2,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"134","659158","Lead Add Form","Reference","No","1",0,986,0,"Unreachable","Working Professional","Mumbai","No","Modified","3"
"135","659153","Lead Add Form","Welingak Website","No","1",0,889,0,"SMS Sent","Unemployed","Mumbai","No","Modified","2"
"136","659146","Landing Page Submission","Google","No","1",5,1091,5,"Unreachable","Unemployed","Mumbai","No","Unreachable","4"
"137","659142","Landing Page Submission","Direct Traffic","No","0",4,291,4,"Olark Chat Conversation","Unemployed","Other Cities","Yes","Modified","1"
"138","659141","Lead Add Form","Reference","No","1",0,0,0,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","3"
"139","659138","API","Google","Yes","0",1,1759,1,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Olark Chat Conversation","2"
"140","659132","Landing Page Submission","Referral Sites","No","0",7,41,3.5,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","1"
"141","659123","Landing Page Submission","Google","No","0",5,386,5,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","4"
"142","659117","API","Referral Sites","No","0",6,216,2,"Page Visited on Website","Unemployed","Mumbai","No","Page Visited on Website","0"
"143","659106","Landing Page Submission","Google","No","1",5,1603,5,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"144","659094","Landing Page Submission","google","No","0",7,106,3.5,"Page Visited on Website","Unemployed","Other Cities","No","Modified","1"
"145","659079","API","Google","No","0",2,73,2,"Unreachable","Unemployed","Mumbai","No","Modified","2"
"146","659076","API","Google","No","0",2,77,2,"Converted to Lead","Unemployed","Mumbai","No","Modified","2"
"147","659074","Landing Page Submission","Direct Traffic","No","0",3,718,3,"Unreachable","Unemployed","Thane & Outskirts","Yes","Modified","1"
"148","659069","Landing Page Submission","Google","No","0",5,432,1.67,"Olark Chat Conversation","Unemployed","Mumbai","No","Olark Chat Conversation","2"
"149","659057","Landing Page Submission","Google","No","0",5,232,2.5,"Email Opened","Unemployed","Other Cities","No","Email Opened","4"
"150","659050","Landing Page Submission","Direct Traffic","No","0",2,702,2,"Email Opened","Unemployed","Other Cities","Yes","Email Opened","3"
"151","659038","Landing Page Submission","Organic Search","No","1",5,614,5,"Unreachable","Unemployed","Thane & Outskirts","Yes","Unreachable","3"
"152","659036","Landing Page Submission","Direct Traffic","No","1",1,1808,1,"Converted to Lead","Unemployed","Thane & Outskirts","Yes","Modified","1"
"153","659016","Landing Page Submission","Direct Traffic","Yes","0",2,234,1,"Email Bounced","Unemployed","Mumbai","Yes","Modified","3"
"154","659013","Landing Page Submission","Direct Traffic","No","0",3,245,3,"Unreachable","Unemployed","Thane & Outskirts","Yes","Modified","3"
"155","658983","Landing Page Submission","Organic Search","No","1",8,1268,4,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"156","658976","Landing Page Submission","Google","No","0",2,56,2,"Email Bounced","Unemployed","Mumbai","No","Modified","3"
"157","658932","API","Referral Sites","No","0",4,174,2,"Email Link Clicked","Unemployed","Mumbai","No","Modified","2"
"158","658917","Landing Page Submission","Direct Traffic","No","0",4,1149,2,"Email Opened","Unemployed","Mumbai","No","Email Opened","3"
"159","658888","Landing Page Submission","Direct Traffic","No","0",2,333,2,"Email Opened","Unemployed","Other Cities","Yes","Email Opened","1"
"160","658856","API","Organic Search","No","0",7,471,2.33,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"161","658852","Landing Page Submission","Direct Traffic","No","1",3,1010,3,"Email Opened","Unemployed","Other Metro Cities","Yes","Email Opened","3"
"162","658831","API","Olark Chat","No","1",10,1815,3.33,"Had a Phone Conversation","Unemployed","Other Cities of Maharashtra","Yes","Had a Phone Conversation","3"
"163","658828","Landing Page Submission","Direct Traffic","No","0",2,47,2,"Email Link Clicked","Unemployed","Other Cities","Yes","Email Link Clicked","3"
"164","658826","Landing Page Submission","Direct Traffic","No","1",3,1528,1.5,"Email Opened","Unemployed","Other Cities","Yes","Modified","3"
"165","658793","Landing Page Submission","Google","No","1",6,919,6,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"166","658779","API","Organic Search","No","0",10,194,5,"Email Link Clicked","Unemployed","Mumbai","No","Modified","4"
"167","658773","API","Organic Search","No","0",1,1173,1,"Converted to Lead","Unemployed","Mumbai","No","Modified","2"
"168","658766","API","Google","No","0",2,351,2,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"169","658756","Landing Page Submission","Referral Sites","No","0",12,493,12,"Email Link Clicked","Unemployed","Thane & Outskirts","Yes","Email Link Clicked","1"
"170","658744","Landing Page Submission","Direct Traffic","No","0",3,381,1.5,"Page Visited on Website","Unemployed","Thane & Outskirts","Yes","Page Visited on Website","3"
"171","658714","API","Referral Sites","No","0",2,1944,2,"Email Opened","Unemployed","Other Metro Cities","No","Email Opened","0"
"172","658689","Landing Page Submission","Google","No","0",5,65,5,"Unreachable","Unemployed","Thane & Outskirts","No","Modified","4"
"173","658686","API","Organic Search","No","0",7,1334,7,"Email Opened","Unemployed","Mumbai","Yes","Modified","1"
"174","658677","API","Google","No","0",7,615,7,"Form Submitted on Website","Unemployed","Thane & Outskirts","No","Modified","2"
"175","658675","Lead Add Form","Reference","No","1",0,0,0,"Email Opened","Working Professional","Mumbai","No","Email Opened","3"
"176","658656","API","Google","No","0",1,250,1,"Email Bounced","Unemployed","Mumbai","No","Modified","2"
"177","658652","Landing Page Submission","Direct Traffic","No","0",2,383,2,"Email Link Clicked","Unemployed","Other Metro Cities","Yes","Email Link Clicked","1"
"178","658648","Lead Add Form","Welingak Website","No","1",0,1240,0,"Email Opened","Unemployed","Mumbai","No","Modified","2"
"179","658634","Lead Add Form","Reference","No","1",0,0,0,"Email Opened","Working Professional","Mumbai","No","Email Opened","3"
"180","658627","Lead Add Form","Welingak Website","No","1",0,458,0,"Email Opened","Unemployed","Mumbai","No","Modified","2"
"181","658623","Lead Add Form","Welingak Website","No","1",0,1060,0,"Email Opened","Unemployed","Mumbai","No","Modified","2"
"182","658620","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","2"
"183","658618","API","Referral Sites","No","0",4,904,4,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"184","658612","API","Google","No","0",1,164,1,"Converted to Lead","Unemployed","Mumbai","No","Modified","0"
"185","658606","API","Google","No","0",2,1793,2,"Converted to Lead","Unemployed","Mumbai","No","Modified","2"
"186","658597","API","Organic Search","No","0",5,1841,5,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"187","658571","API","Organic Search","No","1",8,877,2.67,"Email Link Clicked","Unemployed","Mumbai","No","Email Link Clicked","3"
"188","658561","Lead Add Form","Reference","No","1",0,0,0,"Unreachable","Unemployed","Mumbai","No","Modified","3"
"189","658546","Landing Page Submission","Organic Search","No","1",12,1411,6,"Email Opened","Unemployed","Other Cities","Yes","Email Opened","3"
"190","658531","API","Organic Search","No","1",6,385,6,"Converted to Lead","Unemployed","Thane & Outskirts","No","Modified","2"
"191","658527","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"192","658481","API","Google","No","0",12,68,1.71,"Page Visited on Website","Unemployed","Mumbai","No","Modified","2"
"193","658470","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"194","658458","Landing Page Submission","Google","No","0",3,192,3,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","2"
"195","658448","Landing Page Submission","Google","No","0",5,309,5,"Olark Chat Conversation","Unemployed","Mumbai","No","Modified","2"
"196","658432","Lead Add Form","Reference","No","1",0,785,0,"Approached upfront","Unemployed","Mumbai","No","Modified","2"
"197","658430","API","Organic Search","No","0",4,342,4,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","2"
"198","658421","API","Google","No","0",2,78,1,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","2"
"199","658407","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"200","658405","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"201","658398","API","Organic Search","No","1",5,1234,1.67,"Email Opened","Student","Thane & Outskirts","No","Email Opened","3"
"202","658353","API","Organic Search","No","0",8,14,8,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"203","658323","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"204","658322","API","Referral Sites","No","0",4,77,4,"Unreachable","Unemployed","Mumbai","No","Modified","2"
"205","658321","API","Referral Sites","No","1",3,1299,3,"Olark Chat Conversation","Unemployed","Mumbai","No","Modified","2"
"206","658309","Lead Add Form","Reference","No","1",0,0,0,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Email Opened","3"
"207","658299","API","Referral Sites","No","0",2,457,2,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","2"
"208","658288","API","Organic Search","No","0",5,358,5,"Page Visited on Website","Unemployed","Thane & Outskirts","No","Modified","2"
"209","658281","Landing Page Submission","Direct Traffic","No","0",3,481,3,"Email Link Clicked","Unemployed","Other Cities","Yes","Email Link Clicked","1"
"210","658278","API","Direct Traffic","No","0",2,205,2,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"211","658277","Landing Page Submission","Direct Traffic","No","1",1,1106,1,"Converted to Lead","Unemployed","Other Cities","Yes","Modified","3"
"212","658264","Landing Page Submission","Direct Traffic","No","1",9,1953,1.8,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","4"
"213","658258","Lead Add Form","Reference","No","1",0,1070,0,"Email Opened","Unemployed","Other Cities","No","Modified","3"
"214","658243","Lead Add Form","Reference","No","1",0,0,0,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"215","658234","Landing Page Submission","Google","No","0",5,207,2.5,"Form Submitted on Website","Unemployed","Mumbai","No","Modified","2"
"216","658231","Landing Page Submission","Direct Traffic","No","1",2,1587,2,"Email Opened","Unemployed","Other Cities","No","Email Opened","4"
"217","658222","Landing Page Submission","Direct Traffic","No","1",2,1509,2,"Email Opened","Unemployed","Mumbai","Yes","Modified","3"
"218","658220","API","Organic Search","No","0",4,331,4,"Unreachable","Unemployed","Mumbai","No","Modified","2"
"219","658206","Landing Page Submission","Direct Traffic","No","0",4,187,4,"Email Link Clicked","Unemployed","Mumbai","Yes","Modified","3"
"220","658203","API","Organic Search","No","1",3,1407,1.5,"Converted to Lead","Unemployed","Mumbai","No","Modified","3"
"221","658193","Lead Add Form","Reference","No","1",0,0,0,"Email Opened","Working Professional","Mumbai","No","Modified","3"
"222","658188","Landing Page Submission","Google","No","0",1,123,1,"Converted to Lead","Unemployed","Other Cities","No","Modified","3"
"223","658178","API","Organic Search","No","0",1,100,1,"Converted to Lead","Unemployed","Mumbai","No","Modified","2"
"224","658142","Landing Page Submission","Direct Traffic","No","1",9,1164,4.5,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"225","658107","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Email Opened","0"
"226","658089","Landing Page Submission","Direct Traffic","No","1",1,1362,1,"Unreachable","Unemployed","Other Cities of Maharashtra","No","Modified","4"
